feature,distribution_parameter,median_vi_to_nuts_width_ratio,vi_inside_nuts_fraction,median_normalized_center_difference
x1,loc,0.41168390794728094,1.0,0.012785844958290216
x1,raw_scale,0.48394045009706116,1.0,0.02301191633061775
x2,loc,0.41498322315482966,1.0,0.026170762633400707
x2,raw_scale,0.45631840676067287,1.0,0.0017103059745419108
