parameter,nominal,empirical_coverage
skew,0.5,0.0
skew,0.8,1.0
skew,0.9,1.0
skew,0.95,1.0
tail,0.5,0.0
tail,0.8,0.0
tail,0.9,0.0
tail,0.95,0.0
loc,0.5,0.0
loc,0.8,1.0
loc,0.9,1.0
loc,0.95,1.0
scale,0.5,0.0
scale,0.8,0.0
scale,0.9,0.0
scale,0.95,0.0
