parameter,nominal,empirical_coverage
concentration,0.5,1.0
concentration,0.8,1.0
concentration,0.9,1.0
concentration,0.95,1.0
rate,0.5,1.0
rate,0.8,1.0
rate,0.9,1.0
rate,0.95,1.0
