parameter,nominal,empirical_coverage
location,0.5,0.375
location,0.8,0.6328125
location,0.9,0.96484375
location,0.95,1.0
scale,0.5,0.3671875
scale,0.8,0.65625
scale,0.9,0.83984375
scale,0.95,0.88671875
